ACIDENTE POR ANIMAIS PEÇONHENTOS - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Notificações por UF de notificação e Tipo de Acidente 
Período:2007-2021
"UF de notificação";"Ign/Branco";"Serpente";"Aranha";"Escorpião";"Lagarta";"Abelha";"Outros";"Total"
"11 Rondônia";310;7353;1655;2547;326;970;985;14146
"12 Acre";294;6464;898;2365;148;831;1102;12102
"13 Amazonas";632;23361;2350;4568;585;431;2060;33987
"14 Roraima";137;4887;409;1518;172;1144;811;9078
"15 Pará";730;69981;4175;24856;391;1321;4003;105457
"16 Amapá";100;6745;282;2673;60;44;110;10014
"17 Tocantins";425;11767;1820;12472;1583;3656;8333;40056
"21 Maranhão";357;22762;1578;11746;671;1221;1183;39518
"22 Piauí";958;3862;1419;20461;325;3662;1736;32423
"23 Ceará";733;10322;1797;44517;432;5490;1549;64840
"24 Rio Grande do Norte";3950;5873;2355;46964;594;7195;3716;70647
"25 Paraíba";1617;5913;1207;39437;357;2333;1860;52724
"26 Pernambuco";3283;11602;2373;133576;841;17188;6934;175797
"27 Alagoas";2529;4653;1246;95037;701;6626;3213;114005
"28 Sergipe";425;2507;657;14742;139;1173;689;20332
"29 Bahia";4729;37465;7808;163606;1592;10557;5603;231360
"31 Minas Gerais";5507;46048;45824;288860;14146;26143;18011;444539
"32 Espírito Santo";767;11391;4775;33317;762;4365;2915;58292
"33 Rio de Janeiro";398;8420;5385;5490;395;856;693;21637
"35 São Paulo";11687;26231;55805;211194;8746;35596;10916;360175
"41 Paraná";5472;12398;131558;24479;12169;19044;6840;211960
"42 Santa Catarina";3887;10598;78451;3725;7462;11438;5460;121021
"43 Rio Grande do Sul";3355;12637;39153;3535;5300;8402;3008;75390
"50 Mato Grosso do Sul";723;7047;1791;16479;813;2898;1498;31249
"51 Mato Grosso";444;16974;1976;9367;172;792;1112;30837
"52 Goiás";1347;14930;4807;29075;805;2972;4272;58208
"53 Distrito Federal";260;2107;1015;10662;579;1377;423;16423
"Total";55056;404298;402569;1257268;60266;177725;99035;2456217
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Excluídos casos não residentes no Brasil.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para tabular dados epidemiológicos de um determinado ano, selecione na “Linha” a variável de interesse; na “Coluna” selecione “Ano do Acidente”; em “Períodos Disponíveis” assinale o ano inicial da série e o ano imediatamente anterior e o posterior a
 Dados de 2007 a 2013 atualizados em 25/01/2018.
 Dados de 2014 a 2016 atualizados em 28/01/2019.
 Dados de 2017 atualizados em 27/01/2020.
 Dados de 2018 atualizados em 01/04/2021, dados sujeitos à revisão.
 Dados de 2019 atualizados em 01/04/2021, dados sujeitos à revisão.
 Dados de 2020 atualizados em 01/04/2021, dados sujeitos à revisão.
 Dados de 2020 e 2021 do Espírito Santo não estão disponíveis neste sistema pois são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
 * Dados disponibilizados no TABNET em abril/2021.
 
